Algorithm,Average neighbours used,Elapsed time,Filter Type,Include Negative Correlations,Maximum filtered neighbourhood size,Maximum neighbours size,Minimum filtered neighbourhood size,Minimum neighbours size,Neighbourhood Size,Number of cases with no valid neighbours,Result,Similarity Threshold,Time to do averages,Time to do predictions,Time to do similarities,Total over predictions (> 5),Total predictions,Total under predictions (< 1)
Item-Based,67.231955,1308.827s,Combined Top-K & Similarity Threshold,False,100.0,850.0,0.0,6.0,100,2,0.6680015313410278,0.1,35.564s,378.325s,844.449s,0,14464,6868
Item-Based,49.389934,1308.819s,Combined Top-K & Similarity Threshold,False,100.0,850.0,0.0,6.0,100,64,0.6789270815552936,0.5,35.867s,365.944s,854.364s,0,14464,6804
Item-Based,25.164062,1308.791s,Combined Top-K & Similarity Threshold,False,100.0,850.0,0.0,6.0,100,1630,0.7460128179608585,0.9,34.967s,385.184s,840.705s,0,14464,6092
Item-Based,9.911919,1308.795s,Combined Top-K & Similarity Threshold,False,10.0,850.0,0.0,6.0,10,2,0.7222168149089421,0.1,35.289s,371.467s,850.836s,0,14464,6241
Item-Based,9.29169,1325.930s,Combined Top-K & Similarity Threshold,False,10.0,850.0,0.0,6.0,10,64,0.727014915916648,0.5,32.592s,364.710s,883.541s,0,14464,6199
Item-Based,6.526963,1336.687s,Combined Top-K & Similarity Threshold,False,10.0,850.0,0.0,6.0,10,1630,0.7710531200100279,0.9,31.711s,365.675s,895.342s,0,14464,5752
Item-Based,1.999516,1481.547s,Combined Top-K & Similarity Threshold,False,2.0,850.0,0.0,6.0,2,2,0.8458910607618964,0.1,34.377s,370.632s,1029.140s,0,14464,4594
Item-Based,1.980434,1483.748s,Combined Top-K & Similarity Threshold,False,2.0,850.0,0.0,6.0,2,64,0.8463077511376238,0.5,34.913s,363.191s,1039.354s,0,14464,4588
Item-Based,1.692685,1493.640s,Combined Top-K & Similarity Threshold,False,2.0,850.0,0.0,6.0,2,1630,0.854821602045374,0.9,34.015s,374.018s,1041.068s,0,14464,4474
Item-Based,4.991773,1368.295s,Combined Top-K & Similarity Threshold,False,5.0,850.0,0.0,6.0,5,2,0.7576685302047976,0.1,33.003s,351.704s,938.575s,0,14464,5895
Item-Based,4.852945,1459.455s,Combined Top-K & Similarity Threshold,False,5.0,850.0,0.0,6.0,5,64,0.760382176065857,0.5,34.379s,373.382s,1005.297s,0,14464,5863
Item-Based,3.754563,1463.395s,Combined Top-K & Similarity Threshold,False,5.0,850.0,0.0,6.0,5,1630,0.7895310136218371,0.9,33.502s,379.000s,1004.724s,0,14464,5518
Item-Based,112.498617,1308.797s,Combined Top-K & Similarity Threshold,False,441.0,850.0,0.0,6.0,700,2,0.663920815679182,0.1,37.328s,374.656s,845.426s,0,14464,6900
Item-Based,66.814298,1308.823s,Combined Top-K & Similarity Threshold,False,352.0,850.0,0.0,6.0,700,64,0.6753146776579368,0.5,34.927s,378.177s,844.114s,0,14464,6829
Item-Based,29.128733,1308.797s,Combined Top-K & Similarity Threshold,False,288.0,850.0,0.0,6.0,700,1630,0.7446741418687478,0.9,34.783s,368.610s,857.118s,0,14464,6116
