Algorithm,Average neighbours used,Elapsed time,Filter Type,Include Negative Correlations,Maximum filtered neighbourhood size,Maximum neighbours size,Minimum filtered neighbourhood size,Minimum neighbours size,Neighbourhood Size,Number of cases with no valid neighbours,Result,Similarity Threshold,Time to do averages,Time to do predictions,Time to do similarities,Total over predictions (> 5),Total predictions,Total under predictions (< 1)
Item-Based,67.231955,1308.788s,Combined Top-K & Similarity Threshold,True,100.0,850.0,0.0,6.0,100,2,0.6680015313410278,0.1,34.252s,375.031s,850.128s,0,14464,6868
Item-Based,49.389934,1308.794s,Combined Top-K & Similarity Threshold,True,100.0,850.0,0.0,6.0,100,64,0.6789270815552936,0.5,34.084s,380.880s,843.095s,0,14464,6804
Item-Based,25.164062,1308.786s,Combined Top-K & Similarity Threshold,True,100.0,850.0,0.0,6.0,100,1630,0.7460128179608585,0.9,32.888s,384.894s,843.960s,0,14464,6092
Item-Based,9.911919,1308.804s,Combined Top-K & Similarity Threshold,True,10.0,850.0,0.0,6.0,10,2,0.7222168149089421,0.1,35.111s,376.601s,848.977s,0,14464,6241
Item-Based,9.29169,1308.828s,Combined Top-K & Similarity Threshold,True,10.0,850.0,0.0,6.0,10,64,0.727014915916648,0.5,34.780s,379.131s,844.439s,0,14464,6199
Item-Based,6.526963,1308.805s,Combined Top-K & Similarity Threshold,True,10.0,850.0,0.0,6.0,10,1630,0.7710531200100279,0.9,34.481s,389.542s,836.461s,0,14464,5752
Item-Based,1.999516,1475.699s,Combined Top-K & Similarity Threshold,True,2.0,850.0,0.0,6.0,2,2,0.8458910607618964,0.1,34.317s,374.148s,1021.868s,0,14464,4594
Item-Based,1.980434,1479.984s,Combined Top-K & Similarity Threshold,True,2.0,850.0,0.0,6.0,2,64,0.8463077511376238,0.5,33.171s,368.702s,1032.308s,0,14464,4588
Item-Based,1.692685,1481.236s,Combined Top-K & Similarity Threshold,True,2.0,850.0,0.0,6.0,2,1630,0.854821602045374,0.9,32.600s,378.241s,1025.493s,0,14464,4474
Item-Based,4.991773,1336.650s,Combined Top-K & Similarity Threshold,True,5.0,850.0,0.0,6.0,5,2,0.7576685302047976,0.1,34.344s,365.937s,890.707s,0,14464,5895
Item-Based,4.852945,1342.944s,Combined Top-K & Similarity Threshold,True,5.0,850.0,0.0,6.0,5,64,0.760382176065857,0.5,32.863s,377.127s,888.909s,0,14464,5863
Item-Based,3.754563,1359.411s,Combined Top-K & Similarity Threshold,True,5.0,850.0,0.0,6.0,5,1630,0.7895310136218371,0.9,32.258s,375.970s,907.114s,0,14464,5518
Item-Based,112.498617,1308.804s,Combined Top-K & Similarity Threshold,True,441.0,850.0,0.0,6.0,700,2,0.663920815679182,0.1,35.065s,372.649s,851.505s,0,14464,6900
Item-Based,66.814298,1308.778s,Combined Top-K & Similarity Threshold,True,352.0,850.0,0.0,6.0,700,64,0.6753146776579368,0.5,35.023s,357.582s,866.837s,0,14464,6829
Item-Based,29.128733,1308.812s,Combined Top-K & Similarity Threshold,True,288.0,850.0,0.0,6.0,700,1630,0.7446741418687478,0.9,35.111s,378.394s,848.638s,0,14464,6116
